Reservoir,Reservoir_type,Year,Cyanobacteria_Max_cells/ml,logCyanoMax_cells/ml,Chlorophyll_a_ug/l,Secchi_cm,TP_ppb,P_dissolved_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TOC_ppm,Alkalinity_ppm,NH36to8inflow_ppm,TKN6to8inflow_ppm,NOx6to8inflow_ppm,TP6to8inflow_ppb,TOC6to8inflow_ppm,Summer_precip_inches,Summer_precip_Z-score,mayST_Celsius,junST_Celsius,julST_Celsius,augST_Celsius,mayDO_mg/l,junDO_mg/l,mayDT_Celsius,junDT_Celsius,julDT_Celsius,augDT_Celsius
BHR,1,1987,na,na,na,162,5,5,0.125,0.05,na,0.5,43.5,0,0.125,0.075,5,1,8.7,-1.319,na,na,na,na,na,na,na,na,na,na
BHR,1,1988,235.6,2.372,na,na,5,32.5,0.05,0.05,na,1,34,0,0.175,0.15,11,2,8.86,-1.277,na,na,na,na,na,na,na,na,na,na
BHR,1,1989,na,na,na,na,12,7.5,0.2,0.075,0.1,3,27.5,0.1,0.2,0.35,33.5,3,18.65,1.259,18.57,24.66,27.11,26.83,8.49,6.28,12.95,17.04,20.77,22.33
BHR,1,1990,na,na,2,116,115,115,0.075,0.05,0.167,2.3,36.4,0,0.1,0.4,33,1,13.29,-0.129,20.34,24.5,27.84,26.98,7.5,4.35,14.66,17.62,20.86,21.94
BHR,1,1991,na,na,na,103,35.5,10,0.133,0.05,0.35,4.5,48,0.033,0.3,0.333,29.7,3.3,13.53,-0.067,23.83,26.62,28.39,27.56,na,3.83,16.09,21.1,23.55,25.35
BHR,1,1992,2626.8,3.419,na,na,70,70,na,0.05,0.1,3,40,0.05,na,0.2,140,3.5,17.13,0.866,20.27,23.27,27.76,26.22,7.78,6.38,14.58,18.19,21.43,22.66
BHR,1,1993,2292.5,3.36,na,97,5,na,na,0.25,na,3,26,0.2,na,na,na,3,13.57,-0.057,21.36,25.42,30.9,28.02,8.73,3.9,14.1,18.55,21.6,22.44
BHR,1,1994,na,na,5.44,na,na,na,na,na,na,3.67,na,na,na,na,na,5,10.58,-0.832,19.26,28.02,29.58,26.92,8.66,4.46,13.79,15.88,21.08,23.53
BHR,1,1995,68.1,1.833,na,138,na,na,na,na,na,3.95,51,na,na,0.045,na,6.2,6.17,-1.974,19.07,25.46,28.6,29.43,9.03,3.78,13.73,16.85,19.9,21.81
BHR,1,1996,na,na,na,106,na,na,na,na,na,2.8,40,na,na,0.045,na,3.3,14.19,0.104,20.91,26.17,27.77,27.19,8.62,5.55,15.29,17.99,19.58,22.52
BHR,1,1997,na,na,3.1,na,na,na,na,na,0.005,2.12,na,na,na,0.005,na,4.9,11.87,-0.497,18.43,23.45,28.4,27.48,6.95,5.25,15.58,17.49,19.74,21.85
BHR,1,1998,23.1,1.363,3.04,na,na,na,na,na,na,na,na,na,na,na,na,na,13.64,-0.039,20.75,27.01,28.6,28.2,6.52,4.85,14.2,18.99,21.78,22.75
BHR,1,1999,639.5,2.806,na,na,5,5,0.175,na,0.09,1.9,54.5,na,0.2,0.12,13.3,2.5,7.38,-1.661,22.89,26.78,29.11,28.19,6.15,1.77,17.25,18.65,20.55,22.26
BHR,1,2000,1394.5,3.144,na,80,na,na,na,na,na,na,na,na,na,na,na,na,13.93,0.036,20.15,27.22,27.31,27.6,5.82,3.33,15.28,19.21,21.52,22.32
BHR,1,2001,108.1,2.034,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16.19,0.622,24.18,24.87,27.15,29.27,5.52,2.6,15.05,17.89,21.34,23.08
BHR,1,2002,114.5,2.059,na,116,na,na,na,na,na,na,na,na,na,na,na,na,7.97,-1.508,18.07,28.52,28.56,28.02,7.68,4.31,15.21,16.69,19.01,21.64
BHR,1,2003,326.3,2.514,na,91,na,na,na,na,na,na,na,na,na,na,na,na,17.45,0.948,20.75,23.81,27.17,28.46,7.06,6.06,16.54,18.09,20.79,21.84
BHR,1,2004,601.1,2.779,na,100.3,na,na,na,na,na,na,na,na,na,na,na,na,17.98,1.086,22.76,27.01,26.89,27.09,6.74,3.33,15.75,18.26,22.57,22.46
BHR,1,2005,2578.7,3.411,na,96,na,na,na,na,na,na,na,na,na,na,na,na,13.04,-0.194,20.82,26.11,28.58,29.22,6.93,3.58,12.8,16.96,21.44,24.11
BHR,1,2006,257.7,2.411,na,98.7,na,na,na,na,na,na,na,na,na,na,na,na,14.9,0.288,19.18,25.98,28.89,28.4,6.61,4.89,16.19,18.27,20.95,23.04
BHR,1,2007,1698.2,3.23,na,120,na,na,0.19,0.018,0.01,2.54,86,na,na,na,na,na,9.71,-1.057,23.1,25.84,27.37,28.4,5.52,2.06,16.53,17.95,20.51,23.2
BHR,1,2008,9774.4,3.99,na,na,4.6,na,na,0.012,0.017,14,138.4,na,na,na,na,na,11.04,-0.712,19.01,26.83,27.32,26.65,6.04,3.6,15.59,18.83,20.2,23.75
BHR,1,2009,na,na,na,58.5,87.9,na,0.594,0.02,0.8,6.86,115.7,0.019,0.525,1.059,64.5,9.6,14.65,0.223,20.21,26.52,26.98,26.46,7.44,5.68,15.47,19.34,21.28,22.19
BHR,1,2010,na,na,na,63,na,na,na,na,na,na,na,na,na,na,na,na,16.08,0.593,22.41,27.01,27.59,28.14,6.29,2.86,16.14,19.26,21.36,24.44
BHR,1,2011,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.61,0.472,na,na,na,na,na,na,na,na,na,na
BHR,1,2012,na,na,na,84,na,na,na,na,na,na,na,na,na,na,na,na,8.44,-1.386,na,na,na,27.97,na,na,na,na,na,24.67
BHR,1,2013,1045415.5,6.019,na,na,1.3,na,na,0.029,0.094,2.74,na,0.054,na,1.6,140,5.7,19.52,1.485,na,na,na,na,na,na,na,na,na,na
BHR,1,2014,917375.1,5.963,na,108,3.5,na,0.1,0.052,0.005,2.9,na,0.092,0.9,0.29,45.8,5.5,21.36,1.962,na,na,27.3,na,na,na,na,na,24.73,na
BHR,1,2015,10994.2,4.041,1.42,121,16.6,na,0.227,0.137,0.018,2.63,na,na,na,na,na,na,18.69,1.27,na,na,na,28.37,na,na,na,na,na,23.43
BHR,1,2016,60069.1,4.779,2.74,105,28.4,na,0.286,0.108,0.041,3.67,104.2,na,na,na,na,na,16.83,0.788,23.78,27.27,29.67,28.76,9.4,6.02,15.64,19.18,22.48,24.74
BHR,1,2017,85271.2,4.931,2.58,168,5.1,50,0.164,0.08,0.107,2.76,76,0.073,0.13,0.155,8,2.3,14.33,0.14,22.85,25.56,28.75,27.39,6.96,3.27,16.63,20.01,23.47,23.82
BHR,1,2018,704232.2,5.848,10.87,115,61.3,49.8,0.193,0.077,0.044,3.04,114.2,na,na,na,na,na,15.99,0.57,23.02,26.97,27.76,27.82,5.98,2.55,16.53,23.25,22.82,25
BRR,2,1987,na,na,3.8,120,54.3,12,0.2,0.092,0.24,1.83,88.5,0.05,0.267,0.433,123.5,2,14.63,0.248,na,na,na,na,na,na,na,na,na,na
BRR,2,1988,804.5,2.906,na,72,na,na,na,na,na,na,80.6,na,na,na,na,na,8.89,-1.235,na,na,na,na,na,na,na,na,na,na
BRR,2,1989,na,na,na,96,22,5,0.28,0.05,0.2,3.25,75.2,0,0.2,0.85,54,2,17.89,1.091,19.3,26.06,27.79,27.61,4.77,1.23,11.28,15.91,19.57,21.97
BRR,2,1990,na,na,2.5,106,na,na,na,na,na,na,94.5,na,na,na,na,na,7.73,-1.535,17.1,25,27.98,27.89,6.68,3.37,13.26,16.67,17.54,17.72
BRR,2,1991,na,na,na,85.3,na,na,na,0.063,na,6.17,81.8,0.025,na,na,na,5.5,8.77,-1.266,22.64,27.24,28.77,28.04,4.51,3.09,14.54,16.76,18.29,19.06
BRR,2,1992,5170,3.713,6.75,74.3,61.3,42.14285714,0.267,0.075,0.233,4.78,67.8,0.05,na,1.075,265,3.2,14.16,0.127,20.69,23.69,27.61,26.23,4.99,1.85,12.63,16.38,20.91,21.16
